,,,,,,,,,,,,Odds Portal,,,"Pinnacle odds until April 2, 2018.  bet365  odds from then on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Bookmakers Surveyed,Home Odds Open,Home Odds Min,Home Odds Max,Home Odds Close,Away Odds Open,Away Odds Min,Away Odds Max,Away Odds Close,Home Line Open,Home Line Min,Home Line Max,Home Line Close,Away Line Open,Away Line Min,Away Line Max,Away Line Close,Home Line Odds Open,Home Line Odds Min,Home Line Odds Max,Home Line Odds Close,Away Line Odds Open,Away Line Odds Min,Away Line Odds Max,Away Line Odds Close,Total Score Open,Total Score Min,Total Score Max,Total Score Close,Total Score Over Open,Total Score Over Min,Total Score Over Max,Total Score Over Close,Total Score Under Open,Total Score Under Min,Total Score Under Max,Total Score Under Close,Notes
22-Jul-18,16:10,Port Adelaide,GWS Giants,Adelaide Oval,58,80,,8,10,11,14, 1.59 , 2.32 ,8,1.40,1.40,1.78,1.60,3.00,2.05,3.00,2.40,-16.5,-16.5,-3.5,-10.5,16.5,3.5,16.5,10.5,1.90,1.90,1.90,1.93,1.90,1.90,1.90,1.93,155.5,155.5,157.5,157.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
22-Jul-18,13:20,West Coast,Western Bulldogs,Optus Stadium,100,46,,14,16,6,10, 1.12 , 5.94 ,8,1.17,1.10,1.17,1.13,5.25,5.25,7.25,6.50,-36.5,-43.5,-36.5,-40.5,36.5,36.5,43.5,40.5,1.90,1.90,1.90,1.93,1.90,1.90,1.90,1.93,162.5,141.5,162.5,145.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
22-Jul-18,13:10,Carlton,Hawthorn,Etihad Stadium,52,124,,7,10,18,16, 5.47 , 1.14 ,8,6.50,5.60,7.00,5.60,1.11,1.10,1.16,1.16,40.5,35.5,42.5,35.5,-40.5,-42.5,-35.5,-35.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,167.5,166.5,168.5,166.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
21-Jul-18,19:25,Brisbane,Adelaide,Gabba,88,93,,13,10,13,15, 2.27 , 1.62 ,8,2.70,2.20,2.80,2.35,1.47,1.44,1.70,1.63,15.5,5.5,17.5,9.5,-15.5,-17.5,-5.5,-9.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,179.5,177.5,182.5,182.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
21-Jul-18,19:25,Geelong,Melbourne,GMHBA Stadium,100,98,,16,4,14,14, 1.50 , 2.55 ,8,1.56,1.50,1.65,1.50,2.45,2.25,2.68,2.68,-10.5,-12.5,-7.5,-12.5,10.5,7.5,12.5,12.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,160.5,160.5,163.5,163.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
21-Jul-18,16:35,Essendon,Fremantle,Etihad Stadium,99,70,,13,21,11,4, 1.11 , 6.07 ,8,1.20,1.12,1.25,1.12,4.60,4.00,6.75,6.75,-30.5,-39.5,-28.5,-39.5,30.5,28.5,39.5,39.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,155.5,155.5,167.5,166.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
21-Jul-18,14:10,Sydney,Gold Coast,SCG,64,88,,8,16,12,16, 1.02 , 12.27 ,8,1.04,1.02,1.04,1.02,11.00,11.00,17.00,17.00,-51.5,-62.5,-51.5,-62.5,51.5,51.5,62.5,62.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,160.5,159.5,166.5,166.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
21-Jul-18,13:45,Collingwood,North Melbourne,MCG,130,64,,20,10,9,10, 1.47 , 2.62 ,8,1.56,1.48,1.62,1.48,2.45,2.30,2.75,2.75,-11.5,-15.5,-9.5,-15.5,11.5,9.5,15.5,15.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,169.5,169.5,171.5,171.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
20-Jul-18,19:50,St Kilda,Richmond,Etihad Stadium,57,111,,8,9,16,15, 5.23 , 1.15 ,8,6.25,5.40,6.50,5.40,1.12,1.12,1.17,1.17,40.5,32.5,40.5,33.5,-40.5,-40.5,-32.5,-33.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,174.5,173.5,174.5,173.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
15-Jul-18,14:40,Fremantle,Port Adelaide,Optus Stadium,59,50,,8,11,7,8, 4.89 , 1.18 ,9,3.00,3.00,5.20,5.20,1.40,1.18,1.40,1.18,17.5,17.5,33.5,33.5,-17.5,-33.5,-17.5,-33.5,1.90,1.90,1.93,1.93,1.90,1.93,1.90,1.93,152.5,152.5,153.5,153.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
15-Jul-18,15:20,North Melbourne,Sydney,Etihad Stadium,98,104,,15,8,16,8, 1.87 , 1.91 ,9,2.20,1.83,2.25,1.85,1.68,1.65,2.02,2.00,7.5,-2.5,8.5,-1.5,-7.5,-8.5,2.5,1.5,1.90,1.93,1.90,1.90,1.90,1.90,1.93,1.95,160.5,160.5,165.5,165.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
15-Jul-18,13:10,Collingwood,West Coast,MCG,67,102,,9,13,15,12, 1.50 , 2.56 ,9,1.58,1.47,1.58,1.52,2.40,2.40,2.80,2.62,-10.5,-15.5,-10.5,-13.5,10.5,10.5,15.5,13.5,1.90,1.90,1.90,1.93,1.90,1.90,1.93,1.93,164.5,162.5,166.5,165.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
14-Jul-18,19:25,Gold Coast,Essendon,Metricon Stadium,51,95,,6,15,13,17, 4.01 , 1.24 ,9,4.35,3.85,4.50,3.85,1.22,1.22,1.28,1.28,29.5,25.5,30.5,25.5,-29.5,-30.5,-25.5,-25.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,156.5,156.5,156.5,156.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
14-Jul-18,19:25,GWS Giants,Richmond,Spotless Stadium,79,77,,11,13,10,17, 2.53 , 1.52 ,9,2.20,2.18,2.62,2.55,1.68,1.50,1.70,1.54,7.5,6.5,13.5,11.5,-7.5,-13.5,-6.5,-11.5,1.90,1.90,1.90,1.93,1.90,1.90,1.90,1.93,159.5,157.5,159.5,158.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
14-Jul-18,16:35,Melbourne,Western Bulldogs,MCG,119,69,,18,11,10,9, 1.11 , 6.40 ,9,1.28,1.10,1.28,1.13,3.70,3.70,8.00,6.50,-24.5,-44.5,-24.5,-39.5,24.5,24.5,44.5,39.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,176.5,174.5,176.5,174.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
14-Jul-18,13:45,Hawthorn,Brisbane,University of Tasmania Stadium,65,98,,9,11,15,8, 1.22 , 4.24 ,9,1.18,1.18,1.30,1.22,5.00,3.60,5.00,4.50,-33.5,-33.5,-23.5,-28.5,33.5,23.5,33.5,28.5,1.90,1.90,1.90,1.93,1.90,1.90,1.90,1.93,181.5,176.5,181.5,177.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
13-Jul-18,19:50,St Kilda,Carlton,Etihad Stadium,116,52,,16,20,7,10, 1.30 , 3.51 ,9,1.42,1.28,1.44,1.33,2.90,2.80,3.85,3.50,-15.5,-24.5,-15.5,-21.5,15.5,15.5,24.5,21.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,165.5,163.5,167.5,167.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
12-Jul-18,19:20,Adelaide,Geelong,Adelaide Oval,112,97,,16,16,14,13, 1.98 , 1.82 ,8,1.75,1.70,2.02,2.02,2.10,1.83,2.18,1.83,-4.5,-6.5,2.5,2.5,4.5,-2.5,6.5,-2.5,1.90,1.90,1.93,1.93,1.90,1.93,1.90,1.93,160.5,157.5,160.5,158.5,1.90,1.90,1.90,1.87,1.90,1.90,1.90,1.95,
08-Jul-18,14:40,West Coast,GWS Giants,Optus Stadium,86,75,,13,8,10,15, 1.60 , 2.29 ,8,1.48,1.48,1.65,1.63,2.65,2.25,2.65,2.35,-13.5,-13.5,-6.5,-9.5,13.5,6.5,13.5,9.5,1.90,1.90,1.90,1.93,1.90,1.90,1.90,1.93,166.5,163.5,166.5,163.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
08-Jul-18,15:20,Essendon,Collingwood,MCG,62,78,,9,8,12,6, 2.32 , 1.59 ,8,2.40,2.30,2.45,2.45,1.58,1.58,1.65,1.58,10.5,7.5,10.5,9.5,-10.5,-10.5,-7.5,-9.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,150.5,146.5,163.5,162.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
08-Jul-18,13:10,North Melbourne,Gold Coast,Etihad Stadium,95,58,,14,11,8,10, 1.07 , 8.10 ,8,1.10,1.08,1.12,1.08,7.00,6.25,9.00,9.00,-42.5,-52.5,-40.5,-52.5,42.5,40.5,52.5,52.5,1.90,1.93,1.90,1.93,1.90,1.90,1.93,1.93,175.5,175.5,178.5,177.5,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,
